,Open,High,Low,Close,Volume,MA_5,MA_10,MA_20,MA_50,RSI,MACD,MACD_signal,BB_middle,BB_upper,BB_lower,Volatility,Price_Change,Volume_MA,Future_Return,Crash_Label
2022-02-19,344.4506676946386,333.4958408801935,328.7484338384571,332.64951118859017,4028631,338.0685165815959,344.3753206590231,354.2104282249428,383.85577402868455,27.529424073656244,-11.56250302171037,-11.174907039342438,354.2104282249428,382.3104192622121,326.1104371876735,14.04999551863466,-0.0342608031072546,6075363.75,0.02290665794390856,0
2022-02-20,332.64951118859017,336.2697239623719,333.3164759271927,335.13828817984347,8232212,337.6710808742076,342.64586550435314,352.84915622225606,382.4710655277997,28.09419669127448,-11.51780397329452,-11.243487209179968,352.84915622225606,381.9075515231978,323.7907609213143,14.52919765047087,0.0074816793878957,6125888.65,0.03523650963124236,0
2022-02-21,335.13828817984347,334.2634168901517,331.65856353087975,332.892310142681,7423959,337.378196708634,340.53577764203663,350.6862687026352,381.05571417145535,33.2796650418136,-11.527303188841133,-11.300250923613834,350.6862687026352,378.8685177562111,322.5040196490593,14.09112452678794,-0.0067016456083263,6128345.35,0.025770322929437484,0
2022-02-22,332.892310142681,330.3212110659194,326.18164453857355,328.7183598834586,7984297,334.7698274178424,338.0547728434371,348.3009531489286,379.4442322618691,36.026125593008025,-11.730778947718818,-11.38635715765684,348.3009531489286,375.3640959998096,321.23781029804763,13.531571425440491,-0.0125384400061191,6227267.3,0.033409822743962536,0
2022-02-23,328.7183598834586,334.50917767905594,323.58086565434337,333.0684627722895,5024733,332.49338643337256,336.18632291314435,346.5124699945162,377.66222070914426,38.763698262120016,-11.4141965871911,-11.39192507611378,346.5124699945162,372.5700779948064,320.454861994226,13.0288040001451,0.0132335257768172,6077067.85,0.027689889600668094,0
2022-02-24,333.0684627722895,341.61159969379327,336.3605016033298,340.2693997565956,5859221,334.0173641469736,336.04294036428473,344.7622058592098,376.0553254375034,40.430271374733785,-10.469161779371348,-11.207371553644412,344.7622058592098,367.1261218559655,322.39828986245413,11.181957998377849,0.021619990449919,5908966.3,0.02657421210821287,0
2022-02-25,340.2693997565956,348.40798637475444,340.9115001205903,346.9473916990906,4801250,336.37918485082304,337.0251328625153,343.7852292999845,374.6129702495473,44.86976109789443,-9.083273590403849,-10.782550371551554,343.7852292999845,363.72941221284026,323.8410463871288,9.972091456427876,0.019625602382324,5650243.4,-0.001827116121075889,0
2022-02-26,346.9473916990906,342.4605497294387,340.23342157857195,341.47105247578435,1019675,338.0949333174437,337.73656501303884,342.4395656572141,372.7879897512453,41.81784956764029,-8.325755358353263,-10.291189898193666,342.4395656572141,358.68397022146416,326.195161092964,8.122202282125057,-0.0157843504644528,5480433.6,0.011429418044179407,0
2022-02-27,341.47105247578435,346.75093476289584,335.89725463176524,339.7007820198511,9462605,340.2914177447222,337.5306225812823,341.70888103183745,370.78611567612,41.82078705725305,-7.777014828085555,-9.78835368011851,341.70888103183745,356.99039861303163,326.42736345064327,7.640758790597097,-0.0051842475170242,5809665.3,-0.004779276752807982,0
2022-02-28,339.7007820198511,345.272873993676,337.85951237817056,342.2910917359184,1486799,342.13594353744804,337.3146649854103,341.560591710528,368.9098408040596,50.44389900059687,-7.053797091642025,-9.241441314747265,341.560591710528,356.754451926431,326.366731494625,7.596930107951487,0.0076252686280713,5434130.85,-0.03495259416925667,0
